Document_ID,Sample_Text
DOC_01,pesiratan kebinar kelenjoan kedikean betando pelupakan gerupak buleni kemei kesaboan gelenen tilaken pedulenan lelekak tilaken petilak pekemean binaren kegupakan pesuren pesemak pelakan ketulanan telilak bentoen
DOC_02,pesurenan selenjo kelumang geleni pemade kebinaran bajiki sesemak dikei kebulenan dikeen pekapean pecinde keguren kegawai cindei lumangi gulaike siratke kemelakan peulow kegulaian pebengoan selenjo bebinar
DOC_03,setulan singean pesurenan seremak bedulen kegupakan pepayo kesirat perendo makanke kebajikan padean siraten gulaii ketandoan pelade pelekak bemulen pebengoan semakan sarenen ngeleen perendo merakan peulowan
DOC_04,dulenke ketenyangan demulen pengelean melakke pepadean pesinge begupak kesinge kelekak gulaike pegurenan kesaren bentoi pepelakan pebulenan kemakanan sedike ketando kelupakan keserekan pegenia lenjoke tilaken dulenen
DOC_05,perade kelenga petilak rendoan pesuren peserekan segelen tabiki kebulenan lekaki kesulu semarek tulani ketulan pebento semakke kekapean dulenke perendo kegupakan sirati kegurenan kepayo besinge pengelean
DOC_06,gulaii pedulenan bengoke betilak sesirat pegurenan semakke sarenke kesabo pengelean celinde pelade peserekan serendo kerawa pegenia begulai sareki sengele bepade kesuren suluen pengele begawai pekedah
DOC_07,lekaki sebelai kegenia kapeke pelupakan kengele kegupakan semakke pebajik kelumang setulan mureke semabo bajiken kegawaian bebulen kelenga sekape kecindean uemlow kegawai pesaren delulen peguren pebengoan
DOC_08,betabik pesarekan bebule sesirat segawai renahke pemelak kesemak kelengaan kesaren kelekakan tulanen begulai sareki pepelakan keserekan gupakan kekapean pegupak kesuluan binarke kelupakan kerenahan secinde pengelean
DOC_09,sarekan gelenke rendoen gupaken pebelai semakan kesarenan mureke lelupak pegelenan ketabikan sengele sedulen bekape belumang gulaii ketandoan pegelen kepelakan serulu belupak pesarek pegupakan sesuren pedulenan
DOC_10,dulenen pekedah ngelean perawa pegelenan pepadean berawa tandoen pedulenan begupak bemento pebengoan kesarenan pebento cindean murei kerape kesuluan setando kerawa pelekak pebinaran pelenjoan gulaian pecinde
DOC_11,bengoen becinde pegupakan pebulen pegeniaan pesulu kedulenan peserekan bebento gelenan pegeniaan segupak gawaian relenah kemure setenyang sepayo kegelen pepelak serendo sebengo buleke sekedah kegawai semakan
DOC_12,ketulan pelupakan bebengo ketulanan pedulenan kelape kebento pebule kesuren telulan tulanke rerawa pesemak kelekakan kemeke singeen serekke kesinge kepade kekedahan kebule kelengaan ketandoan payoi kekedahan
DOC_13,kesingean betando serendo pelenjo lupaki pepayoan ketulan rawake pemayo ketenyangan kegupak kesaboan pebajikan pepadean kepelak perendo sepade berendo lumangan gulaian belulen berengo gemawai sesirat selabo
DOC_14,petandoan murean pesiratan kegelen kecindean selaren pekedah ngelean kekemean perendo semaken pekedahan tenyangen payoen memakan belumang remenah duleni sesuren berengo pecinde belenjo pesaboan kelekak peulowan
DOC_15,lumangan lekakke kebulean pebelaian gelupak sebule kepadean petilak kemelak bekedah kebento bajiken sepade bebento gerawai mureke kelupakan sedulen petandoan bedulen melakan gupaki kebajik pebajikan kegulaian
