Affixed_Word,Root_Word,Affix_Category,Affix_Pattern,Meaning_EN
besarek,sarek,Prefix,be-,Synthetic meaning for sarek
kesabo,sabo,Prefix,ke-,Synthetic meaning for sabo
pebelai,belai,Prefix,pe-,Synthetic meaning for belai
belumang,lumang,Prefix,be-,Synthetic meaning for lumang
bebajik,bajik,Prefix,be-,Synthetic meaning for bajik
sebulen,bulen,Prefix,se-,Synthetic meaning for bulen
beulow,ulow,Prefix,be-,Synthetic meaning for ulow
petenyang,tenyang,Prefix,pe-,Synthetic meaning for tenyang
besinge,singe,Prefix,be-,Synthetic meaning for singe
pepayo,payo,Prefix,pe-,Synthetic meaning for payo
sepelak,pelak,Prefix,se-,Synthetic meaning for pelak
sesinge,singe,Prefix,se-,Synthetic meaning for singe
kebulen,bulen,Prefix,ke-,Synthetic meaning for bulen
pelekak,lekak,Prefix,pe-,Synthetic meaning for lekak
sesuren,suren,Prefix,se-,Synthetic meaning for suren
kesirat,sirat,Prefix,ke-,Synthetic meaning for sirat
pemakan,makan,Prefix,pe-,Synthetic meaning for makan
kesemak,semak,Prefix,ke-,Synthetic meaning for semak
begenia,genia,Prefix,be-,Synthetic meaning for genia
begupak,gupak,Prefix,be-,Synthetic meaning for gupak
kebinar,binar,Prefix,ke-,Synthetic meaning for binar
kerawa,rawa,Prefix,ke-,Synthetic meaning for rawa
seulow,ulow,Prefix,se-,Synthetic meaning for ulow
bedulen,dulen,Prefix,be-,Synthetic meaning for dulen
begupak,gupak,Prefix,be-,Synthetic meaning for gupak
kepayo,payo,Prefix,ke-,Synthetic meaning for payo
kesarek,sarek,Prefix,ke-,Synthetic meaning for sarek
pecinde,cinde,Prefix,pe-,Synthetic meaning for cinde
bepelak,pelak,Prefix,be-,Synthetic meaning for pelak
peulow,ulow,Prefix,pe-,Synthetic meaning for ulow
kerendo,rendo,Prefix,ke-,Synthetic meaning for rendo
petenyang,tenyang,Prefix,pe-,Synthetic meaning for tenyang
segenia,genia,Prefix,se-,Synthetic meaning for genia
setulan,tulan,Prefix,se-,Synthetic meaning for tulan
kesarek,sarek,Prefix,ke-,Synthetic meaning for sarek
kebule,bule,Prefix,ke-,Synthetic meaning for bule
pebinar,binar,Prefix,pe-,Synthetic meaning for binar
kelupak,lupak,Prefix,ke-,Synthetic meaning for lupak
besuren,suren,Prefix,be-,Synthetic meaning for suren
perawa,rawa,Prefix,pe-,Synthetic meaning for rawa
pedulen,dulen,Prefix,pe-,Synthetic meaning for dulen
sebule,bule,Prefix,se-,Synthetic meaning for bule
kegupak,gupak,Prefix,ke-,Synthetic meaning for gupak
pesarek,sarek,Prefix,pe-,Synthetic meaning for sarek
kebajik,bajik,Prefix,ke-,Synthetic meaning for bajik
berendo,rendo,Prefix,be-,Synthetic meaning for rendo
besinge,singe,Prefix,be-,Synthetic meaning for singe
sengele,ngele,Prefix,se-,Synthetic meaning for ngele
betulan,tulan,Prefix,be-,Synthetic meaning for tulan
kekeme,keme,Prefix,ke-,Synthetic meaning for keme
sekeme,keme,Prefix,se-,Synthetic meaning for keme
sedulen,dulen,Prefix,se-,Synthetic meaning for dulen
kemakan,makan,Prefix,ke-,Synthetic meaning for makan
pelumang,lumang,Prefix,pe-,Synthetic meaning for lumang
kelenjo,lenjo,Prefix,ke-,Synthetic meaning for lenjo
selenjo,lenjo,Prefix,se-,Synthetic meaning for lenjo
sebulen,bulen,Prefix,se-,Synthetic meaning for bulen
pelenga,lenga,Prefix,pe-,Synthetic meaning for lenga
selumang,lumang,Prefix,se-,Synthetic meaning for lumang
betenyang,tenyang,Prefix,be-,Synthetic meaning for tenyang
pemelak,melak,Prefix,pe-,Synthetic meaning for melak
pesarek,sarek,Prefix,pe-,Synthetic meaning for sarek
sebajik,bajik,Prefix,se-,Synthetic meaning for bajik
berawa,rawa,Prefix,be-,Synthetic meaning for rawa
segupak,gupak,Prefix,se-,Synthetic meaning for gupak
serawa,rawa,Prefix,se-,Synthetic meaning for rawa
kesaren,saren,Prefix,ke-,Synthetic meaning for saren
bepayo,payo,Prefix,be-,Synthetic meaning for payo
bebajik,bajik,Prefix,be-,Synthetic meaning for bajik
kebajik,bajik,Prefix,ke-,Synthetic meaning for bajik
kerendo,rendo,Prefix,ke-,Synthetic meaning for rendo
kemelak,melak,Prefix,ke-,Synthetic meaning for melak
pegelen,gelen,Prefix,pe-,Synthetic meaning for gelen
berenah,renah,Prefix,be-,Synthetic meaning for renah
keguren,guren,Prefix,ke-,Synthetic meaning for guren
pemure,mure,Prefix,pe-,Synthetic meaning for mure
bemure,mure,Prefix,be-,Synthetic meaning for mure
kesarek,sarek,Prefix,ke-,Synthetic meaning for sarek
pesarek,sarek,Prefix,pe-,Synthetic meaning for sarek
kemakan,makan,Prefix,ke-,Synthetic meaning for makan
pesemak,semak,Prefix,pe-,Synthetic meaning for semak
bedulen,dulen,Prefix,be-,Synthetic meaning for dulen
kerawa,rawa,Prefix,ke-,Synthetic meaning for rawa
begulai,gulai,Prefix,be-,Synthetic meaning for gulai
kemelak,melak,Prefix,ke-,Synthetic meaning for melak
pepade,pade,Prefix,pe-,Synthetic meaning for pade
pesulu,sulu,Prefix,pe-,Synthetic meaning for sulu
becinde,cinde,Prefix,be-,Synthetic meaning for cinde
setenyang,tenyang,Prefix,se-,Synthetic meaning for tenyang
pedike,dike,Prefix,pe-,Synthetic meaning for dike
selumang,lumang,Prefix,se-,Synthetic meaning for lumang
pepayo,payo,Prefix,pe-,Synthetic meaning for payo
